1	235	10	78	10	6	235	21	235	24.8	47	550	1.8K	20.7	47	0.39	1.9K	551.6	47	20	3.65	86	1.7K	4.5K	47	20	3.65	2100	1.6K	461.4	47	20	3.50	2.75	2.2K	1.1K	47	20	3.50	2.75	2.3K	17.7K	47	20	0.86	1015	2.4K	29.4K	47	20	3.50	2.75	2.5K
2	490	11	163	10	12	490	42	490	31.3	98	600	8.7K	23.7	98	0.38	9.2K	618.8	98	21	3.60	90	8.3K	5K	98	21	3.60	2150	7.9K	511.9	98	21	3.60	2.70	10.9K	1.2K	98	21	3.60	2.70	11.4K	19.6K	98	21	0.90	1050	11.8K	32.6K	98	21	3.60	2.70	12.2K
3	734	12	245	10	18	734	63	734	38.7	146.8	650	22.4K	27	146.8	0.37	23.5K	688.4	146.8	22	3.55	94	21.3K	5.6K	146.8	22	3.55	2200	20.2K	563.2	146.8	22	3.70	2.65	28K	1.3K	146.8	22	3.70	2.65	29.2K	21.5K	146.8	22	0.94	1085	30.3K	35.8K	146.8	22	3.70	2.65	31.4K
4	998	13	333	10	24	998	84	998	47	199.6	700	46.2K	30.4	199.6	0.36	48.5K	760.3	199.6	23	3.50	98	43.9K	6.1K	199.6	23	3.50	2250	41.6K	615.3	199.6	23	3.80	2.60	57.8K	1.4K	199.6	23	3.80	2.60	60.1K	23.5K	199.6	23	0.98	1120	62.4K	39.1K	199.6	23	3.80	2.60	64.7K
5	1.3K	14	424	10	30	1.3K	105	1.3K	56	254.4	750	102K	34.1	254.4	0.35	107.1K	834.6	254.4	24	3.45	102	96.9K	6.6K	254.4	24	3.45	2300	91.8K	668.2	254.4	24	3.90	2.55	127.4K	1.5K	254.4	24	3.90	2.55	132.5K	25.5K	254.4	24	1.02	1155	137.6K	42.4K	254.4	24	3.90	2.55	142.7K
6	1.5K	15	509	10	36	1.5K	126	1.5K	66	305.2	800	192.2K	37.9	305.2	0.34	201.8K	911.2	305.2	25	3.40	106	182.6K	7.2K	305.2	25	3.40	2350	173K	721.9	305.2	25	4.00	2.50	240.2K	1.6K	305.2	25	4.00	2.50	249.8K	27.5K	305.2	25	1.06	1190	259.5K	45.7K	305.2	25	4.00	2.50	269.1K
7	1.8K	16	605	10	42	1.8K	147	1.8K	76.8	362.8	850	392.7K	41.9	362.8	0.33	412.3K	990.3	362.8	26	3.35	110	373.1K	7.8K	362.8	26	3.35	2400	353.4K	776.5	362.8	26	4.10	2.45	490.9K	1.8K	362.8	26	4.10	2.45	510.5K	29.6K	362.8	26	1.10	1225	530.1K	49.1K	362.8	26	4.10	2.45	549.8K
8	2.1K	17	704	10	48	2.1K	168	2.1K	88.4	422.4	900	555.3K	46.2	422.4	0.32	583.1K	1.1K	422.4	27	3.30	114	527.6K	8.3K	422.4	27	3.30	2450	499.8K	831.9	422.4	27	4.20	2.40	694.1K	1.9K	422.4	27	4.20	2.40	721.9K	31.6K	422.4	27	1.14	1260	749.7K	52.5K	422.4	27	4.20	2.40	777.4K
9	2.4K	18	806	10	54	2.4K	189	2.4K	101	483.8	950	756.4K	50.7	483.8	0.31	794.2K	1.2K	483.8	28	3.25	118	718.6K	8.9K	483.8	28	3.25	2500	680.8K	888.1	483.8	28	4.30	2.35	945.5K	2K	483.8	28	4.30	2.35	983.3K	33.7K	483.8	28	1.18	1295	1M	56K	483.8	28	4.30	2.35	1.1M
10	2.7K	19	896	10	60	5.4K	210	5.4K	114.5	537.6	1000	999.9K	55.3	537.6	0.30	1M	1.2K	537.6	29	3.20	122	949.9K	9.5K	537.6	29	3.20	2550	899.9K	945.1	537.6	29	4.40	2.30	1.2M	2.1K	537.6	29	4.40	2.30	1.3M	35.9K	537.6	29	1.22	1330	1.3M	59.5K	537.6	29	4.40	2.30	1.4M
12	3K	20	1K	11	66	6K	231	6K	143.4	602	1050	1.4M	65	602	0.29	1.5M	1.4K	602	30	3.15	126	1.3M	10.7K	602	30	3.15	2600	1.2M	1.1K	602	30	4.50	2.25	1.7M	2.4K	602	30	4.50	2.25	1.8M	39.9K	602	30	1.26	1365	1.9M	66.1K	602	30	4.50	2.25	1.9M
14	3.3K	21	1.1K	11	72	6.7K	252	6.7K	168	668.2	1100	1.6M	72.1	668.2	0.28	1.7M	1.5K	668.2	31	3.10	130	1.6M	11.4K	668.2	31	3.10	2650	1.5M	1.1K	668.2	31	4.60	2.20	2M	2.5K	668.2	31	4.60	2.20	2.1M	42.1K	668.2	31	1.30	1400	2.2M	69.7K	668.2	31	4.60	2.20	2.3M
16	3.7K	22	1.2K	11	78	7.4K	273	7.4K	194.5	736.4	1150	1.9M	79.6	736.4	0.27	2M	1.6K	736.4	32	3.05	134	1.8M	12.1K	736.4	32	3.05	2700	1.7M	1.2K	736.4	32	4.70	2.15	2.4M	2.7K	736.4	32	4.70	2.15	2.5M	44.4K	736.4	32	1.34	1435	2.6M	73.4K	736.4	32	4.70	2.15	2.7M
18	4K	23	1.3K	11	84	7.9K	294	7.9K	232.2	793	1200	2.2M	91.1	793	0.26	2.3M	1.8K	793	33	3.00	138	2.1M	13.3K	793	33	3.00	2750	2M	1.3K	793	33	4.80	2.10	2.8M	2.9K	793	33	4.80	2.10	2.9M	48.6K	793	33	1.38	1470	3M	80.3K	793	33	4.80	2.10	3.1M
20	4.3K	24	1.4K	11	90	8.6K	315	8.6K	263.4	864	1250	2.5M	99.7	864	0.25	2.6M	2K	864	34	2.95	142	2.4M	14.1K	864	34	2.95	2800	2.3M	1.4K	864	34	4.90	2.05	3.1M	3K	864	34	4.90	2.05	3.3M	50.9K	864	34	1.42	1505	3.4M	84K	864	34	4.90	2.05	3.5M
